IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.80.142.93,443,TRUE,TPE,Asia Pacific,Taipei,78 ms,15363 kB/s
34.154.6.72,443,TRUE,FRA,Europe,Frankfurt,250 ms,5613 kB/s
34.65.150.119,443,TRUE,FRA,Europe,Frankfurt,236 ms,5237 kB/s
34.116.195.249,443,TRUE,FRA,Europe,Frankfurt,273 ms,4921 kB/s
34.65.201.127,443,TRUE,FRA,Europe,Frankfurt,231 ms,4916 kB/s
34.118.46.250,443,TRUE,FRA,Europe,Frankfurt,296 ms,4911 kB/s
34.90.108.106,443,TRUE,FRA,Europe,Frankfurt,254 ms,4880 kB/s
34.116.142.118,443,TRUE,FRA,Europe,Frankfurt,300 ms,4750 kB/s
34.154.248.87,443,TRUE,FRA,Europe,Frankfurt,246 ms,4665 kB/s
34.65.86.132,443,TRUE,FRA,Europe,Frankfurt,256 ms,4595 kB/s
34.118.11.220,443,TRUE,FRA,Europe,Frankfurt,279 ms,4543 kB/s
34.116.231.238,443,TRUE,FRA,Europe,Frankfurt,286 ms,4472 kB/s
34.91.71.101,443,TRUE,FRA,Europe,Frankfurt,249 ms,4464 kB/s
34.118.126.123,443,TRUE,FRA,Europe,Frankfurt,287 ms,4392 kB/s
34.154.245.81,443,TRUE,FRA,Europe,Frankfurt,243 ms,4381 kB/s
34.116.214.251,443,TRUE,FRA,Europe,Frankfurt,291 ms,4336 kB/s
34.154.164.20,443,TRUE,FRA,Europe,Frankfurt,240 ms,4334 kB/s
34.65.236.103,443,TRUE,FRA,Europe,Frankfurt,235 ms,4328 kB/s
34.65.216.199,443,TRUE,FRA,Europe,Frankfurt,229 ms,4284 kB/s
34.34.42.7,443,TRUE,FRA,Europe,Frankfurt,246 ms,4257 kB/s
34.116.248.189,443,TRUE,FRA,Europe,Frankfurt,277 ms,4202 kB/s
34.91.250.0,443,TRUE,FRA,Europe,Frankfurt,245 ms,4164 kB/s
34.65.226.188,443,TRUE,FRA,Europe,Frankfurt,236 ms,4123 kB/s
34.32.151.237,443,TRUE,FRA,Europe,Frankfurt,260 ms,4117 kB/s
34.154.230.148,443,TRUE,FRA,Europe,Frankfurt,239 ms,4101 kB/s
35.204.32.219,443,TRUE,FRA,Europe,Frankfurt,243 ms,4100 kB/s
34.116.156.226,443,TRUE,FRA,Europe,Frankfurt,292 ms,4075 kB/s
34.154.172.44,443,TRUE,FRA,Europe,Frankfurt,270 ms,4072 kB/s
34.118.11.212,443,TRUE,FRA,Europe,Frankfurt,276 ms,4012 kB/s
34.118.78.27,443,TRUE,FRA,Europe,Frankfurt,296 ms,4001 kB/s
34.118.92.6,443,TRUE,FRA,Europe,Frankfurt,268 ms,3944 kB/s
34.118.6.166,443,TRUE,FRA,Europe,Frankfurt,279 ms,3932 kB/s
34.90.186.118,443,TRUE,FRA,Europe,Frankfurt,256 ms,3930 kB/s
34.65.84.112,443,TRUE,FRA,Europe,Frankfurt,256 ms,3913 kB/s
34.116.149.54,443,TRUE,FRA,Europe,Frankfurt,247 ms,3810 kB/s
34.116.221.100,443,TRUE,FRA,Europe,Frankfurt,297 ms,3757 kB/s
34.154.232.65,443,TRUE,FRA,Europe,Frankfurt,241 ms,3734 kB/s
34.154.178.111,443,TRUE,FRA,Europe,Frankfurt,268 ms,3686 kB/s
34.91.64.141,443,TRUE,FRA,Europe,Frankfurt,249 ms,3628 kB/s
34.154.26.7,443,TRUE,FRA,Europe,Frankfurt,247 ms,3512 kB/s
34.118.121.235,443,TRUE,FRA,Europe,Frankfurt,282 ms,3460 kB/s
34.154.131.195,443,TRUE,FRA,Europe,Frankfurt,254 ms,3456 kB/s
34.91.66.231,443,TRUE,FRA,Europe,Frankfurt,244 ms,3436 kB/s
34.116.249.57,443,TRUE,FRA,Europe,Frankfurt,283 ms,3427 kB/s
34.65.214.170,443,TRUE,FRA,Europe,Frankfurt,240 ms,3372 kB/s
34.65.118.63,443,TRUE,FRA,Europe,Frankfurt,230 ms,3337 kB/s
34.116.218.79,443,TRUE,FRA,Europe,Frankfurt,274 ms,3311 kB/s
34.107.94.122,443,TRUE,FRA,Europe,Frankfurt,234 ms,3285 kB/s
